,pitcher,batter,ballCount,type,speed,stance,crossPlateX,crossPlateY,topSz,bottomSz,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,strike,ball,out,base1,base2,base3,target,event_order,totalBallCount
301,52530,69636,4,슬라이더,138.0,L,0.147037,0.7083,3.441,1.688,-125.554,-4.72497,5.28543,5.92505,50.0,-1.9202,-1.1641,25.4465,-32.3867,2,1,2,0,0,0,S,302,15
302,65665,54529,1,슬라이더,133.0,R,-2.26597,0.7083,3.636,1.784,-120.404,-7.6475,-7.42862,5.95395,50.0,1.02813,-1.49819,21.0651,-26.4642,0,0,0,0,0,0,B,303,1
303,65665,54529,2,슬라이더,133.0,R,-1.4963,0.7083,3.636,1.784,-120.756,-3.86971,-6.47813,6.05455,50.0,1.20076,0.554098,21.2645,-24.5213,0,1,0,0,0,0,F,304,2
304,65665,54529,3,슬라이더,133.0,R,-0.586973,0.7083,3.636,1.784,-120.944,-1.01765,-2.74846,6.09136,50.0,1.07889,-5.53586,22.8286,-30.1553,1,1,0,0,0,0,HO,305,3
305,65665,54598,1,직구,141.0,L,-0.025963,0.7083,3.215,1.577,-128.121,-3.92478,-4.05155,5.90658,50.0,1.0812,6.43251,25.6012,-16.1499,0,0,1,0,0,0,T,306,4
306,65665,54598,2,슬라이더,133.0,L,-0.259055,0.7083,3.215,1.577,-121.196,-5.10545,-3.23601,6.04435,50.0,1.33576,-2.49702,22.8178,-28.1891,1,0,1,0,0,0,HO,307,5
307,65665,50150,1,슬라이더,132.0,R,1.26393,0.7083,3.4,1.668,-120.566,-1.35764,0.662263,6.1487,50.0,1.55794,-6.36064,22.1978,-27.7876,0,0,2,0,0,0,B,308,6
308,65665,50150,2,슬라이더,133.0,R,0.197311,0.7083,3.4,1.668,-120.534,-6.89765,-3.15406,5.87116,50.0,1.3502,2.07855,21.4967,-25.4893,0,1,2,0,0,0,S,309,7
309,65665,50150,3,포크,135.0,R,1.35355,0.7083,3.4,1.668,-122.769,-5.57277,-0.852191,5.99825,50.0,1.12275,6.73682,22.1738,-19.4571,1,1,2,0,0,0,B,310,8
310,65665,50150,4,슬라이더,131.0,R,0.239874,0.7083,3.4,1.668,-119.074,-1.78608,-2.07363,6.14359,50.0,1.32627,-2.07592,21.7851,-27.4676,1,2,2,0,0,0,HO,311,9
311,52530,66606,1,직구,146.0,L,0.333137,0.7083,3.319,1.628,-132.565,-7.30587,7.49388,5.96975,50.0,-1.87069,-9.26904,25.9334,-14.6757,0,0,0,0,0,0,T,312,16
312,52530,66606,2,직구,146.0,L,-1.73045,0.7083,3.319,1.628,-133.237,-0.50858,1.42233,6.16012,50.0,-2.09596,-2.44597,24.2636,-15.4519,1,0,0,0,0,0,B,313,17
313,52530,66606,3,슬라이더,134.0,L,-1.06883,0.7083,3.319,1.628,-122.306,-4.31602,2.60152,6.01513,50.0,-2.10479,-0.609479,21.9547,-28.1641,1,1,0,0,0,0,B,314,18
314,52530,66606,4,직구,146.0,L,-0.390071,0.7083,3.319,1.628,-132.855,-7.45678,3.93557,5.92858,50.0,-1.84529,-0.86869,27.0834,-11.662,1,2,0,0,0,0,T,315,19
315,52530,66606,5,슬라이더,136.0,L,0.15437,0.7083,3.319,1.628,-124.128,-5.72456,4.90413,5.9036,50.0,-2.00924,1.67282,22.0603,-28.996,2,2,0,0,0,0,HO,316,20
316,52530,65464,1,슬라이더,137.0,L,-1.31595,0.7083,3.337,1.637,-124.682,2.06281,1.59816,6.24168,50.0,-2.08932,1.38535,22.8158,-28.848,0,0,1,0,0,0,B,317,21
317,52530,65464,2,직구,144.0,L,-0.673907,0.7083,3.337,1.637,-131.093,-6.28172,4.4559,5.912,50.0,-1.85394,-7.30571,21.9486,-15.3434,0,1,1,0,0,0,HO,318,22
318,52530,68646,1,직구,150.0,L,-0.82791,0.7083,3.424,1.679,-136.468,-9.57068,5.32798,5.85947,50.0,-1.84472,-13.9571,30.7516,-11.3411,0,0,2,0,0,0,B,319,23
319,52530,68646,2,직구,147.0,L,-0.573133,0.7083,3.424,1.679,-133.405,-4.76694,4.07982,5.83102,50.0,-1.84653,-3.94851,24.8588,-19.8398,0,1,2,0,0,0,HO,320,24
320,50662,78513,1,커터,137.0,R,0.556762,0.7083,3.407,1.671,-124.273,-5.18909,5.17129,6.38808,50.0,-1.53961,-0.506019,24.857,-21.8,0,0,0,0,0,0,F,321,1
